Running patient: adult#003
Action space: Box(-1.0, 1.0, (1,), float32)
Action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to teacher_models/smooth/adult-003/logs/ppo_simglucose_1
----------------------------------
| rollout/           |           |
|    iterations           | 20            |
|    time_elapsed         | 94            |
|    total_timesteps      | 9600          |
| train/                  |               |
|    approx_kl            | 4.2219956e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 2.98e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.89e+12      |
|    n_updates            | 190           |
|    policy_gradient_loss | -1.81e-07     |
|    std                  | 1             |
|    value_loss           | 1.06e+13      |
-------------------------------------------
Eval num_timesteps=10000, episode_reward=-29000906.00 +/- 0.00
Episode length: 100.00 +/- 0.00
-------------------------------------------
| eval/                   |               |
|    mean_ep_length       | 100           |
|    mean_reward          | -2.9e+07      |
| time/                   |               |
|    total_timesteps      | 10000         |
| train/                  |               |
|    approx_kl            | 1.6142925e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 5.36e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.71e+12      |
|    n_updates            | 200           |
|    policy_gradient_loss | -1.02e-07     |
|    std                  | 1             |
|    value_loss           | 9.75e+12      |
-------------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 37.5     |
|    ep_rew_mean     | -7e+06   |
| time/              |          |
|    fps             | 98       |
|    iterations      | 21       |
|    time_elapsed    | 102      |
|    total_timesteps | 10080    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 37.6         |
|    ep_rew_mean          | -6.93e+06    |
| time/                   |              |
|    fps                  | 98           |
|    iterations           | 22           |
|    time_elapsed         | 106          |
|    total_timesteps      | 10560        |
| train/                  |              |
|    approx_kl            | 9.934108e-10 |
|    clip_fraction        | 0            |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.42        |
|    explained_variance   | 5.96e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 5.39e+12     |
|    n_updates            | 210          |
|    policy_gradient_loss | -1.14e-07    |
|    std                  | 1            |
|    value_loss           | 1.09e+13     |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 37.5      |
|    ep_rew_mean          | -6.93e+06 |
| time/                   |           |
|    fps                  | 98        |
|    iterations           | 23        |
|    time_elapsed         | 111       |
|    total_timesteps      | 11040     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 5.36e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 4.54e+12  |
|    n_updates            | 220       |
|    policy_gradient_loss | 4.9e-08   |
|    std                  | 1         |
|    value_loss           | 9.25e+12  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 37.5          |
|    ep_rew_mean          | -6.94e+06     |
| time/                   |               |
|    fps                  | 98            |
|    iterations           | 24            |
|    time_elapsed         | 116           |
|    total_timesteps      | 11520         |
| train/                  |               |
|    approx_kl            | 2.4835267e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.79e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.14e+12      |
|    n_updates            | 230           |
|    policy_gradient_loss | -7.3e-08      |
|    std                  | 1             |
|    value_loss           | 1.04e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38            |
|    ep_rew_mean          | -6.94e+06     |
| time/                   |               |
|    fps                  | 98            |
|    iterations           | 25            |
|    time_elapsed         | 121           |
|    total_timesteps      | 12000         |
| train/                  |               |
|    approx_kl            | 1.3659398e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 2.98e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.88e+12      |
|    n_updates            | 240           |
|    policy_gradient_loss | -1.34e-08     |
|    std                  | 1             |
|    value_loss           | 9.93e+12      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 37.6      |
|    ep_rew_mean          | -6.95e+06 |
| time/                   |           |
|    fps                  | 98        |
|    iterations           | 26        |
|    time_elapsed         | 126       |
|    total_timesteps      | 12480     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 6.56e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 4.76e+12  |
|    n_updates            | 250       |
|    policy_gradient_loss | -4.68e-08 |
|    std                  | 1         |
|    value_loss           | 9.81e+12  |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 37.7         |
|    ep_rew_mean          | -6.93e+06    |
| time/                   |              |
|    fps                  | 99           |
|    iterations           | 27           |
|    time_elapsed         | 130          |
|    total_timesteps      | 12960        |
| train/                  |              |
|    approx_kl            | 4.967054e-10 |
|    clip_fraction        | 0            |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.42        |
|    explained_variance   | 1.79e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 5.03e+12     |
|    n_updates            | 260          |
|    policy_gradient_loss | -4.87e-09    |
|    std                  | 1            |
|    value_loss           | 1.05e+13     |
------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 37.8           |
|    ep_rew_mean          | -6.9e+06       |
| time/                   |                |
|    fps                  | 99             |
|    iterations           | 28             |
|    time_elapsed         | 135            |
|    total_timesteps      | 13440          |
| train/                  |                |
|    approx_kl            | -1.2417635e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 1.79e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 5.27e+12       |
|    n_updates            | 270            |
|    policy_gradient_loss | -7.55e-08      |
|    std                  | 1              |
|    value_loss           | 1.02e+13       |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38            |
|    ep_rew_mean          | -6.87e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 29            |
|    time_elapsed         | 140           |
|    total_timesteps      | 13920         |
| train/                  |               |
|    approx_kl            | 6.2088173e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 4.17e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.5e+12       |
|    n_updates            | 280           |
|    policy_gradient_loss | -2.4e-07      |
|    std                  | 1             |
|    value_loss           | 9.2e+12       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38            |
|    ep_rew_mean          | -6.91e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 30            |
|    time_elapsed         | 144           |
|    total_timesteps      | 14400         |
| train/                  |               |
|    approx_kl            | 1.7384689e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 3.58e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.49e+12      |
|    n_updates            | 290           |
|    policy_gradient_loss | 5.01e-08      |
|    std                  | 1             |
|    value_loss           | 9.37e+12      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.4          |
|    ep_rew_mean          | -6.9e+06      |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 31            |
|    time_elapsed         | 149           |
|    total_timesteps      | 14880         |
| train/                  |               |
|    approx_kl            | 1.1175871e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 4.17e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.27e+12      |
|    n_updates            | 300           |
|    policy_gradient_loss | 2.17e-08      |
|    std                  | 1             |
|    value_loss           | 1e+13         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.4          |
|    ep_rew_mean          | -6.92e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 32            |
|    time_elapsed         | 154           |
|    total_timesteps      | 15360         |
| train/                  |               |
|    approx_kl            | 5.5879354e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 2.38e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.92e+12      |
|    n_updates            | 310           |
|    policy_gradient_loss | -3.56e-07     |
|    std                  | 1             |
|    value_loss           | 9.33e+12      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.2          |
|    ep_rew_mean          | -6.91e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 33            |
|    time_elapsed         | 159           |
|    total_timesteps      | 15840         |
| train/                  |               |
|    approx_kl            | 1.4901161e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.1e+12       |
|    n_updates            | 320           |
|    policy_gradient_loss | 9.57e-08      |
|    std                  | 1             |
|    value_loss           | 1.05e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.5          |
|    ep_rew_mean          | -6.94e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 34            |
|    time_elapsed         | 163           |
|    total_timesteps      | 16320         |
| train/                  |               |
|    approx_kl            | 1.3659398e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 2.98e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 5.08e+12      |
|    n_updates            | 330           |
|    policy_gradient_loss | -4.69e-08     |
|    std                  | 1             |
|    value_loss           | 1.05e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 38.6      |
|    ep_rew_mean          | -6.93e+06 |
| time/                   |           |
|    fps                  | 99        |
|    iterations           | 35        |
|    time_elapsed         | 168       |
|    total_timesteps      | 16800     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 1.19e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 4.99e+12  |
|    n_updates            | 340       |
|    policy_gradient_loss | -3.66e-08 |
|    std                  | 1         |
|    value_loss           | 1.04e+13  |
---------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 38.5           |
|    ep_rew_mean          | -6.95e+06      |
| time/                   |                |
|    fps                  | 99             |
|    iterations           | 36             |
|    time_elapsed         | 173            |
|    total_timesteps      | 17280          |
| train/                  |                |
|    approx_kl            | -1.2417635e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 3.58e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 4.78e+12       |
|    n_updates            | 350            |
|    policy_gradient_loss | -3.49e-08      |
|    std                  | 1              |
|    value_loss           | 1.01e+13       |
--------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38.2         |
|    ep_rew_mean          | -6.97e+06    |
| time/                   |              |
|    fps                  | 99           |
|    iterations           | 37           |
|    time_elapsed         | 178          |
|    total_timesteps      | 17760        |
| train/                  |              |
|    approx_kl            | 2.483527e-10 |
|    clip_fraction        | 0            |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.42        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 4.45e+12     |
|    n_updates            | 360          |
|    policy_gradient_loss | -2.29e-08    |
|    std                  | 1            |
|    value_loss           | 9.25e+12     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.2          |
|    ep_rew_mean          | -6.91e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 38            |
|    time_elapsed         | 183           |
|    total_timesteps      | 18240         |
| train/                  |               |
|    approx_kl            | 7.4505807e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.76e+12      |
|    n_updates            | 370           |
|    policy_gradient_loss | -5.81e-08     |
|    std                  | 1             |
|    value_loss           | 1.04e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38            |
|    ep_rew_mean          | -6.86e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 39            |
|    time_elapsed         | 187           |
|    total_timesteps      | 18720         |
| train/                  |               |
|    approx_kl            | 6.2088173e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 2.38e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.24e+12      |
|    n_updates            | 380           |
|    policy_gradient_loss | -3.32e-08     |
|    std                  | 1             |
|    value_loss           | 8.8e+12       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.1          |
|    ep_rew_mean          | -6.81e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 40            |
|    time_elapsed         | 193           |
|    total_timesteps      | 19200         |
| train/                  |               |
|    approx_kl            | -7.450581e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.4e+12       |
|    n_updates            | 390           |
|    policy_gradient_loss | 1.29e-08      |
|    std                  | 1             |
|    value_loss           | 8.93e+12      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 37.7          |
|    ep_rew_mean          | -6.81e+06     |
| time/                   |               |
|    fps                  | 99            |
|    iterations           | 41            |
|    time_elapsed         | 197           |
|    total_timesteps      | 19680         |
| train/                  |               |
|    approx_kl            | -2.483527e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 3.58e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 4.64e+12      |
|    n_updates            | 400           |
|    policy_gradient_loss | 1.49e-10      |
|    std                  | 1             |
|    value_loss           | 8.97e+12      |
-------------------------------------------
Eval num_timesteps=20000, episode_reward=-29000906.00 +/- 0.00
Episode length: 100.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 100          |
|    mean_reward          | -2.9e+07     |
| time/                   |              |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 2.483527e-10 |
|    clip_fraction        | 0            |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.42        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 5.62e+12     |
|    n_updates            | 410          |
|    policy_gradient_loss | -1.2e-08     |
|    std                  | 1            |
|    value_loss           | 1.11e+13     |
------------------------------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 37.8      |
|    ep_rew_mean     | -6.77e+06 |
| time/              |           |
|    fps             | 98        |
|    iterations      | 42        |
|    time_elapsed    | 204       |
|    total_timesteps | 20160     |
----------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 37.7      |
|    ep_rew_mean          | -6.81e+06 |
| time/                   |           |
|    fps                  | 98        |
|    iterations           | 43        |
|    time_elapsed         | 209       |
